time, alt, vs, desired_vs, hs, desired_hs, ang, desired_ang, acc, nn, fuel
0.0, 13748.0, 24.8, 30.0, 932.0, 713.2714285714286, 58.3, 60.0, 0.0, 0.7, 121.0
10.0, 13509.878955959966, 22.140231362720336, 30.0, 914.8231648493962, 698.814079468998, 59.928046422815044, 60.0, 2.220029600394671, 1.0, 118.78000000000006
20.0, 13308.213271759669, 18.568813432259955, 30.0, 895.5327111697889, 686.5700914996942, 59.99732038152171, 60.0, 2.237533740588151, 1.0, 116.56000000000012
30.0, 13141.683448020309, 15.10009587820952, 30.0, 876.0860551215978, 676.4593522012331, 60.0004365036944, 60.0, 2.2553161022409953, 1.0, 114.34000000000017
40.0, 13009.307075855273, 11.728315927584246, 30.0, 856.4841329663727, 668.4222153197844, 60.00057616678262, 60.0, 2.2733833718244782, 1.0, 112.12000000000023
50.0, 12910.116530278618, 8.453260052127735, 30.0, 836.7246033853002, 662.3999321954875, 60.0005819186459, 60.0, 2.291742451800652, 1.0, 109.90000000000029
60.0, 12843.144435674798, 5.27495591495976, 30.0, 816.8049185306512, 658.3337693088271, 60.00058164631324, 60.0, 2.3104004694146956, 1.0, 107.68000000000035
70.0, 12807.423114424986, 2.1934310983882828, 30.0, 796.7224613101021, 656.1649748043742, 60.000581103457655, 60.0, 2.329364785920281, 1.0, 105.4600000000004
80.0, 12801.98467514458, -0.7912983973657416, 30.0, 776.474549638047, 655.8347838480638, 60.00058054893801, 60.0, 2.348643006263044, 1.0, 103.24000000000046
90.0, 12825.86113568006, -3.6792292639211963, 30.0, 756.0584345722865, 657.2844260948608, 60.00057999439997, 60.0, 2.3682429892489236, 1.0, 101.02000000000052
100.0, 12878.084553726141, -6.4703715529819235, 30.0, 735.4712980872594, 660.4551336190871, 60.000579440366984, 60.0, 2.3881728582259236, 1.0, 98.80000000000058
110.0, 12948.052821655067, -6.512528140087119, 30.0, 719.3241777439526, 664.7032070290577, 60.00057888686213, 60.0, 1.3778933951583467, 0.5733924427273891, 97.16631866265816
120.0, 12994.889083862425, -2.9135419577909034, 30.0, 709.2722821101087, 667.5468372345043, 60.000578333885954, 60.0, 1.009275869584552, 0.4183374167307914, 96.13036136382087
130.0, 12999.277921299867, 1.617157482042071, 30.0, 700.6827363013966, 667.8133023646348, 60.000577781438, 60.0, 0.9968646735177825, 0.41175352224283374, 95.22059553739204
140.0, 12958.556626123544, 6.024956785180684, 30.0, 691.737094187652, 665.3409380146437, 60.000577229517766, 60.0, 1.0897181488481154, 0.44845677623657654, 94.26682906739572
150.0, 12876.25210886994, 9.95187743458108, 30.0, 681.8037959565495, 660.3438780385321, 60.000576678124744, 60.0, 1.21934954050348, 0.4997580832225817, 93.2094649416304
160.0, 12757.762389789617, 13.317936102732983, 30.0, 670.7263938596902, 653.1498593800839, 60.00057612725845, 60.0, 1.3508807749583014, 0.5511520815086561, 92.03660736542163
170.0, 12608.55696488157, 16.157747354815854, 30.0, 658.5460947340973, 644.0909585820954, 60.00057557691835, 60.0, 1.4720118112301555, 0.5975790148168071, 90.75527075422697
180.0, 12433.519569664692, 18.542606597704104, 30.0, 645.3689097702675, 633.4636881582135, 60.00057502710397, 60.0, 1.5795970715891534, 0.6378021489756626, 89.37838616047894
190.0, 12236.774857489963, 20.54936403318615, 30.0, 631.312353371332, 621.518473490462, 60.00057447781479, 60.0, 1.673988497158233, 0.6720389624881388, 87.91962703821802
200.0, 12021.709052236027, 22.24841524842597, 30.0, 616.4846486598004, 608.4609067429017, 60.000573929050304, 60.0, 1.7568446636403434, 0.7010407226617994, 86.3914089375338
210.0, 11791.05891757826, 23.700047919425494, 30.0, 600.9781851931565, 594.4571485672516, 60.00057338081003, 60.0, 1.8300956436389997, 0.7256599728578206, 84.80431186175012
220.0, 11547.0155662562, 24.95424622316899, 30.0, 584.8689092676254, 579.6402308084121, 60.00057283309345, 60.0, 1.8955609626685779, 0.7466917818547034, 83.16707657147042
230.0, 11291.322191661517, 26.051754800094017, 30.0, 568.2179052099455, 564.1159902080207, 60.00057228590008, 60.0, 1.9548198246602824, 0.7648211127569451, 81.48680914652134
240.0, 11025.35879974651, 27.025485625617232, 30.0, 551.0736027494287, 547.9682128417523, 60.00057173922941, 60.0, 2.00919083271624, 0.7806160485380358, 79.76923872587577
250.0, 10750.21287142052, 27.90189276841867, 30.0, 533.4739656145324, 531.2629243362459, 60.00057119308094, 60.0, 2.059753603244725, 0.7945383972628209, 78.018965708834
260.0, 10466.737122943794, 28.702183745783238, 30.0, 515.4484315788355, 514.0518967501589, 60.00057064745416, 60.0, 2.1073829375384845, 0.8069593384200132, 76.23967891588968
270.0, 10175.59621219823, 29.44333789061785, 30.0, 497.0195480434684, 496.37548431203544, 60.0005701023486, 60.0, 2.1527838626380964, 0.8181752023915789, 74.43433730269783
280.0, 9877.304281218792, 30.138942329601367, 30.0, 478.2043165290103, 478.2649027882838, 60.00056955776375, 60.0, 2.1965230841681858, 0.8284215351706513, 72.60531856880249
290.0, 9572.255031731132, 30.79986958104449, 30.0, 459.0152831118651, 459.7440554979616, 60.0005690136991, 60.0, 2.239055672098823, 0.8378849812502747, 70.75453918609627
300.0, 9260.74577285887, 31.434822960293516, 30.0, 439.4614162754811, 440.83099335214575, 60.00056847015417, 60.0, 2.2807470705848445, 0.8467130524435447, 68.88355066598754
310.0, 8942.99662787624, 32.05077388228358, 30.0, 419.54881068139645, 421.53908097820033, 60.00056792712845, 60.0, 2.3218909834913535, 0.8550220417196719, 66.99361645886643
